Date,Currency
11/28/22,Bitcoin
11/27/22,Bitcoin
11/26/22,Bitcoin
11/25/22,Bitcoin
11/24/22,Bitcoin
11/23/22,Bitcoin
11/22/22,Bitcoin
11/21/22,Bitcoin
11/20/22,Bitcoin
11/19/22,Bitcoin
11/18/22,Bitcoin
11/17/22,Bitcoin
11/16/22,Bitcoin
11/15/22,Bitcoin
11/14/22,Bitcoin
11/13/22,Bitcoin
11/12/22,Bitcoin
11/11/22,Bitcoin
11/10/22,Bitcoin
11/9/22,Bitcoin
11/8/22,Bitcoin
11/7/22,Bitcoin
11/6/22,Bitcoin
11/5/22,Bitcoin
11/4/22,Bitcoin
11/3/22,Bitcoin
11/2/22,Bitcoin
11/1/22,Bitcoin
10/31/22,Bitcoin
10/30/22,Bitcoin
10/29/22,Bitcoin
10/28/22,Bitcoin
10/27/22,Bitcoin
10/26/22,Bitcoin
10/25/22,Bitcoin
10/24/22,Bitcoin
10/23/22,Bitcoin
10/22/22,Bitcoin
10/21/22,Bitcoin
10/20/22,Bitcoin
10/19/22,Bitcoin
10/18/22,Bitcoin
10/17/22,Bitcoin
10/16/22,Bitcoin
10/15/22,Bitcoin
10/14/22,Bitcoin
10/13/22,Bitcoin
10/12/22,Bitcoin
10/11/22,Bitcoin
10/10/22,Bitcoin
10/9/22,Bitcoin
10/8/22,Bitcoin
10/7/22,Bitcoin
10/6/22,Bitcoin
10/5/22,Bitcoin
10/4/22,Bitcoin
10/3/22,Bitcoin
10/2/22,Bitcoin
10/1/22,Bitcoin
9/30/22,Bitcoin
9/29/22,Bitcoin
9/28/22,Bitcoin
9/27/22,Bitcoin
9/26/22,Bitcoin
9/25/22,Bitcoin
9/24/22,Bitcoin
9/23/22,Bitcoin
9/22/22,Bitcoin
9/21/22,Bitcoin
9/20/22,Bitcoin
9/19/22,Bitcoin
9/18/22,Bitcoin
9/17/22,Bitcoin
9/16/22,Bitcoin
9/15/22,Bitcoin
9/14/22,Bitcoin
9/13/22,Bitcoin
9/12/22,Bitcoin
9/11/22,Bitcoin
9/10/22,Bitcoin
9/9/22,Bitcoin
9/8/22,Bitcoin
9/7/22,Bitcoin
9/6/22,Bitcoin
9/5/22,Bitcoin
9/4/22,Bitcoin
9/3/22,Bitcoin
9/2/22,Bitcoin
9/1/22,Bitcoin
8/31/22,Bitcoin
8/30/22,Bitcoin
8/29/22,Bitcoin
8/28/22,Bitcoin
8/27/22,Bitcoin
8/26/22,Bitcoin
8/25/22,Bitcoin
8/24/22,Bitcoin
8/23/22,Bitcoin
8/22/22,Bitcoin
8/21/22,Bitcoin
8/20/22,Bitcoin
8/19/22,Bitcoin
8/18/22,Bitcoin
8/17/22,Bitcoin
8/16/22,Bitcoin
8/15/22,Bitcoin
8/14/22,Bitcoin
8/13/22,Bitcoin
8/12/22,Bitcoin
8/11/22,Bitcoin
8/10/22,Bitcoin
8/9/22,Bitcoin
8/8/22,Bitcoin
8/7/22,Bitcoin
8/6/22,Bitcoin
8/5/22,Bitcoin
8/4/22,Bitcoin
8/3/22,Bitcoin
8/2/22,Bitcoin
