Date,Hash_Rate
11/27/22,249807387.1
11/26/22,200213273.5
11/25/22,225928739.8
11/24/22,236949654
11/23/22,258991482.2
11/22/22,231439196.9
11/21/22,236949654
11/20/22,272375605.4
11/19/22,268636445.9
11/18/22,254016775.3
11/17/22,252189316.5
11/16/22,274118822.3
11/15/22,283256116.4
11/14/22,224777434.3
11/13/22,235742187.2
11/12/22,305185622.2
11/11/22,244879481.3
11/10/22,268636445.9
11/9/22,272291363.5
11/8/22,297875786.9
11/7/22,263186945.5
11/6/22,250862304.5
11/5/22,276497868.4
11/4/22,236213410.8
11/3/22,300302320.7
11/2/22,223395628.8
11/1/22,263680086.4
10/31/22,316782326.1
10/30/22,247200081
10/29/22,261848974.7
10/28/22,291146762.1
10/27/22,247200081
10/26/22,283822315.3
10/25/22,223395628.8
10/24/22,249031192.7
10/23/22,274506216.9
10/22/22,240750216.4
10/21/22,276154660
10/20/22,256682216
10/19/22,267303549.1
10/18/22,251371549.5
10/17/22,265533326.9
10/16/22,254911993.9
10/15/22,269073771.3
10/14/22,276154660
10/13/22,253141771.7
10/12/22,242520438.6
10/11/22,277924882.2
10/10/22,281762541.5
10/9/22,246312726.3
10/8/22,272814728.4
10/7/22,266578963.2
10/6/22,247871667.6
10/5/22,272814728.4
10/4/22,254107432.8
10/3/22,240076961
10/2/22,244753785
10/1/22,282168376.3
9/30/22,263461080.6
9/29/22,222928606.7
9/28/22,234283743.9
9/27/22,205494866.9
9/26/22,238947519.7
9/25/22,234168569.3
9/24/22,232575585.8
9/23/22,215052767.7
9/22/22,203901883.4
9/21/22,224610668.5
9/20/22,242133486.6
9/19/22,207087850.4
9/18/22,245319453.5
9/17/22,270807188.9
9/16/22,203901883.4
9/15/22,234168569.3
9/14/22,202308900
9/13/22,211972242.1
9/12/22,235601272.1
9/11/22,281797599.9
9/10/22,241760782.5
9/9/22,226362006.5
9/8/22,195564454.6
9/7/22,224822128.9
9/6/22,218662618.5
9/5/22,235601272.1
9/4/22,258699436
9/3/22,226362006.5
9/2/22,198644209.8
9/1/22,212503108.2
8/31/22,219862688.9
8/30/22,228317294.5
8/29/22,221270464.5
8/28/22,226907928.5
8/27/22,204358072.3
8/26/22,248048418.8
8/25/22,224089196.5
8/24/22,205767438.3
8/23/22,242410954.7
8/22/22,204358072.3
8/21/22,205767438.3
8/20/22,209995536.3
8/19/22,250867150.8
8/18/22,202403376
8/17/22,180673577.3
8/16/22,207284414.3
8/15/22,203082703.2
8/14/22,186275858.8
8/13/22,194679281
8/12/22,215687836.5
8/11/22,196079851.4
8/10/22,207284414.3
8/9/22,200281562.5
8/8/22,201682132.8
8/7/22,222690688.3
8/6/22,225491829.1
8/5/22,210085555
8/4/22,183173748.8
8/3/22,199607727.9
8/2/22,213373778.1
8/1/22,187218282.7
7/31/22,209243963
7/30/22,177582047.6
7/29/22,200984332.9
7/28/22,194101307.8
7/27/22,227139828.3
7/26/22,220256803.2
7/25/22,195477912.8
7/24/22,216126988.1
7/23/22,211997173.1
7/22/22,181711862.6
7/21/22,199187652.5
7/20/22,182598379.6
7/19/22,199988701.5
7/18/22,189844347.1
7/17/22,179699992.7
7/16/22,214480636.4
7/15/22,205785475.5
7/14/22,179699992.7
7/13/22,159411283.8
7/12/22,218828216.9
7/11/22,178250799.2
7/10/22,221726603.9
7/9/22,194191927.6
7/8/22,214480636.4
7/7/22,227544125.4
7/6/22,186682514.1
7/5/22,173453044.6
7/4/22,210201571
7/3/22,227840863.7
7/2/22,202851865.7
7/1/22,196972101.5
6/30/22,251359920.6
6/29/22,221961099.4
6/28/22,214611394.2
6/27/22,199911983.6
6/26/22,202851865.7
6/25/22,221961099.4
6/24/22,189622396.2
6/23/22,223431040.5
6/22/22,193273708.3
6/21/22,225808603.1
6/20/22,198711570.8
6/19/22,200216961.4
6/18/22,234840947.3
6/17/22,162582194.3
6/16/22,179141491.8
6/15/22,248389463.4
6/14/22,219787040.4
6/13/22,200216961.4
6/12/22,191184617.3
6/11/22,231830165.9
6/10/22,221292431.1
6/9/22,219787040.4
6/8/22,266405768.7
6/7/22,240765744.1
6/6/22,222931244.5
6/5/22,216986411.3
6/4/22,206582953.3
6/3/22,212527786.5
6/2/22,185776037.1
6/1/22,202124328.4
5/31/22,216986411.3
5/30/22,228876077.7
5/29/22,221445036.2
5/28/22,219958827.9
5/27/22,205096745
5/26/22,209555369.9
5/25/22,219801139.3
5/24/22,186420081
5/23/22,248560108
5/22/22,189527082.4
5/21/22,209722591.1
5/20/22,198848086.4
5/19/22,189527082.4
5/18/22,208169090.5
5/17/22,228364599.2
5/16/22,254774110.7
5/15/22,189527082.4
5/14/22,219043595.2
5/13/22,236132102.6
5/12/22,209722591.1
5/11/22,225257597.9
5/10/22,226823707.2
5/9/22,229568645.4
5/8/22,229568645.4
5/7/22,211795589
5/6/22,210314500.9
5/5/22,232530821.5
5/4/22,216238853.1
5/3/22,222163205.2
5/2/22,236974085.6
5/1/22,247341701.8
4/30/22,222163205.2
4/29/22,222163205.2
4/28/22,195503620.6
4/27/22,243130347.4
4/26/22,196436589.9
4/25/22,227305196.8
4/24/22,239933263.3
4/23/22,228708315.3
4/22/22,189420997.4
4/21/22,237127026.3
4/20/22,224498959.8
4/19/22,173986693.9
4/18/22,188017878.9
4/17/22,231514552.3
4/16/22,188017878.9
4/15/22,221692722.8
4/14/22,194492275.6
4/13/22,198950531.1
4/12/22,217424508.9
4/11/22,194687305.4
4/10/22,198950531.1
4/9/22,217424508.9
4/8/22,190424079.7
4/7/22,196108380.6
4/6/22,213161283.3
4/5/22,206055907.2
4/4/22,224529885.1
4/3/22,197529455.8
4/2/22,191845155
4/1/22,200371606.3
3/31/22,194247387.9
3/30/22,184232002.7
3/29/22,206066906.7
3/28/22,216984358.8
3/27/22,178773276.7
3/26/22,219713721.8
3/25/22,212890314.3
3/24/22,195149454.7
3/23/22,197878817.7
3/22/22,203337543.7
3/21/22,208796269.8
3/20/22,210160951.3
3/19/22,211525632.8
3/18/22,195149454.7
3/17/22,217523034.5
3/16/22,212277837.6
3/15/22,190365286.6
3/14/22,209538768.8
3/13/22,206799699.9
3/12/22,213647372.1
3/11/22,188995752.2
3/10/22,198582493.3
3/9/22,188995752.2
3/8/22,202691096.6
3/7/22,202691096.6
3/6/22,179409011.2
3/5/22,168452735.7
3/4/22,190365286.6
3/3/22,204908164.1
3/2/22,189074638.3
3/1/22,225221260.3
2/28/22,214099222.7
2/27/22,189074638.3
2/26/22,173781836.6
2/25/22,186294128.9
2/24/22,183513619.5
2/23/22,208538204
2/22/22,211318713.4
2/21/22,171001327.3
2/20/22,200196675.8
2/19/22,207147949.3
2/18/22,186294128.9
2/17/22,213256529.5
2/16/22,206979740.5
2/15/22,232188811.5
2/14/22,202999360.9
2/13/22,209633327
2/12/22,248110330
2/11/22,188404635.6
2/10/22,195038601.7
2/9/22,185751049.2
2/8/22,204326154.1
2/7/22,180443876.4
2/6/22,206979740.5
2/5/22,157888391.8
2/4/22,172445464.5
2/3/22,194692668.7
2/2/22,202639308.2
2/1/22,203963748.1
1/31/22,189394909
1/30/22,193368228.7
1/29/22,197341548.5
1/28/22,203963748.1
1/27/22,173501629.9
1/26/22,172177190
1/25/22,201314868.3
1/24/22,198665988.4
1/23/22,186746029.1
1/22/22,177474949.7
1/21/22,175442615.3
1/20/22,204748985.5
1/19/22,209595115.3
1/18/22,164768414.4
1/17/22,195056725.8
1/16/22,212018180.2
1/15/22,201114388.1
1/14/22,192633660.9
1/13/22,216864310.1
1/12/22,168403011.7
1/11/22,191422128.4
1/10/22,172037609.1
1/9/22,170826076.6
1/8/22,174242949.2
1/7/22,168921783.5
1/6/22,176161288.5
1/5/22,180987625.2
1/4/22,177367872.7
1/3/22,168921783.5
1/2/22,190640298.6
1/1/22,207532476.9
12/31/21,179781041
12/30/21,143583516
12/29/21,174954704.4
12/28/21,161682278.5
12/27/21,178574456.9
12/26/21,161682278.5
12/25/21,177149566.8
12/24/21,181615890.2
12/23/21,182818644.4
12/22/21,178007627.5
12/21/21,193643432.6
12/20/21,173196610.5
12/19/21,179210381.7
12/18/21,153952542.7
12/17/21,179210381.7
12/16/21,138316737.6
12/15/21,169588347.8
12/14/21,178007627.5
12/13/21,169588347.8
12/12/21,168385593.5
12/11/21,176161777.1
12/10/21,173208616.6
12/9/21,180980798.1
12/8/21,186532356.3
12/7/21,170987993.3
12/6/21,190973602.9
12/5/21,184311733
12/4/21,172098304.9
12/3/21,186532356.3
12/2/21,172098304.9
12/1/21,152112695.3
11/30/21,148781760.4
11/29/21,158774565.2
11/28/21,155225116.6
11/27/21,161180737.2
11/26/21,148782218.9
11/25/21,146527942.9
11/24/21,176960669.5
11/23/21,148782218.9
11/22/21,158926461.1
11/21/21,148782218.9
11/20/21,163435013.2
11/19/21,154417909.1
11/18/21,162307875.2
11/17/21,167943565.3
11/16/21,169070703.3
11/15/21,170197841.4
11/14/21,175094161.9
11/13/21,164733856.4
11/12/21,152890245.8
11/11/21,170117315.7
11/10/21,160427088.9
11/9/21,163657164.5
11/8/21,145353402.7
11/7/21,164733856.4
11/6/21,165810548.2
11/5/21,166887240.1
11/4/21,153966937.6
11/3/21,173347391.3
11/2/21,170117315.7
11/1/21,159350397
10/31/21,140175299.1
10/30/21,154737198.7
10/29/21,170710070.9
10/28/21,152740589.7
10/27/21,156733807.7
10/26/21,149745676.2
10/25/21,181691420.4
10/24/21,152740589.7
10/23/21,144754153.6
10/22/21,157732112.3
10/21/21,147749067.2
10/20/21,148747371.7
10/19/21,154737198.7
10/18/21,146534419.3
10/17/21,158222181.3
10/16/21,131522188.2
10/15/21,139433297.3
10/14/21,135477742.7
10/13/21,167122179
10/12/21,132511076.8
10/11/21,144377740.4
10/10/21,157233292.7
10/9/21,148333295
10/8/21,118666636
10/7/21,139433297.3
10/6/21,129544410.9
10/5/21,162177735.8
10/4/21,147411968.4
10/3/21,141656679.7
10/2/21,177543038.5
10/1/21,132212901
9/30/21,161488614.8
9/29/21,122769122.4
9/28/21,143545435.4
9/27/21,146378569
9/26/21,131268523.2
9/25/21,135990412.5
9/24/21,139767923.9
9/23/21,155822347.6
9/22/21,126546633.8
9/21/21,113928907.4
9/20/21,150129275.5
9/19/21,146467585.8
9/18/21,141890473.8
9/17/21,134567094.5
9/16/21,124497447.9
9/15/21,129989982.4
9/14/21,153790965.1
9/13/21,145552163.4
9/12/21,134567094.5
9/11/21,135482516.9
9/10/21,124497447.9
9/9/21,125412870.4
9/8/21,129910433.7
9/7/21,133974150.4
9/6/21,150611463.2
9/5/21,143606278.9
9/4/21,135725446.5
9/3/21,129595910.2
9/2/21,130471558.2
9/1/21,119963781.7
8/31/21,126093318
8/30/21,118212485.7
8/29/21,136601094.5
8/28/21,123466373.9
8/27/21,127844614.1
8/26/21,127844614.1
8/25/21,130687447.3
8/24/21,119087832.4
8/23/21,152339629.8
8/22/21,126820808.5
8/21/21,131460594.2
8/20/21,123727618.1
8/19/21,119087832.4
8/18/21,104395177.8
8/17/21,133007189.5
8/16/21,124500915.7
8/15/21,140740165.6
8/14/21,126820808.5
8/13/21,108175319.6
8/12/21,108813934.5
8/11/21,105931446.2
8/10/21,118902643.7
8/9/21,109534556.6
8/8/21,113858289.1
8/7/21,120343887.9
8/6/21,114578911.2
8/5/21,115299533.3
8/4/21,98004603.3
8/3/21,121785132
8/2/21,103048957.9
8/1/21,110975800.8
7/31/21,112465862.1
7/30/21,112824945.7
7/29/21,108746935.7
7/28/21,106707930.6
7/27/21,115543619.1
7/26/21,101950252.2
7/25/21,103989257.2
7/24/21,104668925.6
7/23/21,91755226.96
7/22/21,103989257.2
7/21/21,98551910.44
7/20/21,82919538.44
7/19/21,115543619.1
7/18/21,97872242.09
7/17/21,101997588.1
7/16/21,107098481.8
7/15/21,91390704.5
7/14/21,121378279.4
7/13/21,97102623.54
7/12/21,89962724.75
7/11/21,89248734.87
7/10/21,114952370.5
7/9/21,93532674.14
7/8/21,99244593.17
7/7/21,87820755.11
7/6/21,101386562.8
7/5/21,94246664.02
7/4/21,82108836.08
7/3/21,98706076.21
7/2/21,89177797.48
7/1/21,94132119.56
6/30/21,88186933.06
6/29/21,89177797.48
6/28/21,86205204.23
6/27/21,58461000.57
6/26/21,88186933.06
6/25/21,108995085.8
6/24/21,104040763.7
6/23/21,100077306.1
6/22/21,90168661.9
6/21/21,104040763.7
6/20/21,104040763.7
6/19/21,102059034.9
6/18/21,122867187.6
6/17/21,128812374.1
6/16/21,121876323.2
6/15/21,129803238.6
6/14/21,133766696.2
6/13/21,136724465.1
6/12/21,138110063.8
6/11/21,109860278
6/10/21,123462026.7
6/9/21,131832333.6
6/8/21,155896965.9
6/7/21,139156352.1
6/6/21,156943254.3
6/5/21,137063775.4
6/4/21,137063775.4
6/3/21,153804389.2
6/2/21,173683868.1
6/1/21,148572947.4
5/31/21,147526659
5/30/21,151858199.8
5/29/21,144427847.6
5/28/21,148163050.5
5/27/21,145672915.2
5/26/21,151898253.5
5/25/21,153143321.1
5/24/21,156878524.1
5/23/21,148163050.5
5/22/21,144427847.6
5/21/21,136957441.7
5/20/21,139447577
5/19/21,155633456.4
5/18/21,124506765.1
5/17/21,150653185.8
5/16/21,164348930
5/15/21,153143321.1
5/14/21,166839065.3
5/13/21,185896531.3
5/12/21,176209059.9
5/11/21,176209059.9
5/10/21,184404830.1
5/9/21,190551657.8
5/8/21,175184588.6
5/7/21,176209059.9
5/6/21,174160117.3
5/5/21,160841990.7
5/4/21,185429301.4
5/3/21,181331416.3
5/2/21,189527186.5
5/1/21,158954590
4/30/21,169978665.1
4/29/21,143016532
4/28/21,166461865.1
4/27/21,166461865.1
4/26/21,133638398.8
4/25/21,165289598.5
4/24/21,169978665.1
4/23/21,158255998.6
4/22/21,167634131.8
4/21/21,118398932.3
4/20/21,150050132
4/19/21,113709865.6
4/18/21,145361065.3
4/17/21,106676265.7
4/16/21,120743465.6
4/15/21,198514005.7
4/14/21,155272729.2
4/13/21,163323907.7
4/12/21,165624244.5
4/11/21,166774412.8
4/10/21,180576433.2
4/9/21,174825591.4
4/8/21,154122560.8
4/7/21,180576433.2
4/6/21,165624244.5
4/5/21,179426264.8
4/4/21,167924581.2
4/3/21,150672055.7
4/2/21,160517766.4
4/1/21,157606704
3/31/21,170650017.4
3/30/21,158693646.8
3/29/21,164128360.7
3/28/21,172823903
3/27/21,172823903
3/26/21,147824218.9
3/25/21,167389189
3/24/21,165215303.5
3/23/21,174997788.5
3/22/21,164128360.7
3/21/21,169563074.6
3/20/21,167389189
3/19/21,158357615.4
3/18/21,162062349.9
3/17/21,145003155.2
3/16/21,158863750.9
3/15/21,157797551.2
3/14/21,167393348.3
3/13/21,152466552.9
3/12/21,159929950.6
3/11/21,140738356.5
3/10/21,158863750.9
3/9/21,149267953.9
3/8/21,165260948.9
3/7/21,155665151.9
3/6/21,162254331
3/5/21,160906977.9
3/4/21,138228813.2
3/3/21,164146715.7
3/2/21,154427502.3
3/1/21,140388638.4
2/28/21,141468551
2/27/21,169546278.7
2/26/21,150107851.9
2/25/21,168466366.1
