Date,Revenue
11/27/22,14358617.12
11/26/22,11674337.02
11/25/22,13127718.39
11/24/22,13846331.45
11/23/22,15202435.49
11/22/22,12966806.15
11/21/22,13533870.26
11/20/22,15982750.02
11/19/22,15732345.43
11/18/22,15266118.62
11/17/22,15097004.52
11/16/22,16237808.61
11/15/22,16924308.16
11/14/22,13223056.12
11/13/22,13715309.64
11/12/22,17874099.04
11/11/22,14900952.89
11/10/22,15963715.77
11/9/22,16756916.9
11/8/22,20378818.58
11/7/22,19052783.2
11/6/22,18479806
11/5/22,20477935.25
11/4/22,17095479.29
11/3/22,21427249.23
11/2/22,15923465.1
11/1/22,19035680.24
10/31/22,22491183.83
10/30/22,17765496.38
10/29/22,18889102.55
10/28/22,20657842.56
10/27/22,17781054.47
10/26/22,20391787.5
10/25/22,15262936.71
10/24/22,16704131.75
10/23/22,18817002.9
10/22/22,16486650.38
10/21/22,18823653.63
10/20/22,17832142.51
10/19/22,18709672.39
10/18/22,17605946.97
10/17/22,18438405.72
10/16/22,17640377.3
10/15/22,18603429.73
10/14/22,19349674.9
10/13/22,17339850.42
10/12/22,16543247.31
10/11/22,19592269.93
10/10/22,20456350.29
10/9/22,19801812.92
10/8/22,21693311.54
10/7/22,21329735.83
10/6/22,20238933
10/5/22,22220525.21
10/4/22,20497223.57
10/3/22,18822692.57
10/2/22,19049496.73
10/1/22,22356100.36
9/30/22,20961626.89
9/29/22,17625877.85
9/28/22,18194817.84
9/27/22,16499416.48
9/26/22,18586164.08
9/25/22,18123081.63
9/24/22,17641158.58
9/23/22,16388196.05
9/22/22,15405709.41
9/21/22,17044371.76
9/20/22,18547287.28
9/19/22,15916507.71
9/18/22,19614731.43
9/17/22,22046267.35
9/16/22,16155813.97
9/15/22,18722547.16
9/14/22,16390122.37
9/13/22,18880378.14
9/12/22,21457966.19
9/11/22,25190836.06
9/10/22,21254611.33
9/9/22,19406879.31
9/8/22,15580902.15
9/7/22,17522524.68
9/6/22,17711313.57
9/5/22,19217857.63
9/4/22,21001414.01
9/3/22,18503841.81
9/2/22,16573004.97
9/1/22,17519322.33
8/31/22,18973801.68
8/30/22,20898311.57
8/29/22,19815545.49
8/28/22,20531551.54
8/27/22,18417353.54
8/26/22,23607458.78
8/25/22,21711435.86
8/24/22,19789812.78
8/23/22,23241671.1
8/22/22,20049502.86
8/21/22,19658711.45
8/20/22,19906048.08
8/19/22,24646037.77
8/18/22,21426691.81
8/17/22,19823143.47
8/16/22,22451185.12
8/15/22,22246761.58
8/14/22,20561929.59
8/13/22,21597981.29
8/12/22,23487535.55
8/11/22,21798985.53
8/10/22,22048657.03
8/9/22,21500771.45
8/8/22,22072627.09
8/7/22,23450786.35
8/6/22,23640706.63
8/5/22,22040552.56
8/4/22,19247521.08
8/3/22,21334680.7
8/2/22,22887535.79
8/1/22,20057094.22
7/31/22,22797365.36
7/30/22,19669633.43
7/29/22,22164587.54
7/28/22,21195787.99
7/27/22,22439607.33
7/26/22,21346601.63
7/25/22,20068081.04
7/24/22,22447659.67
7/23/22,21918540.33
7/22/22,19591278.21
7/21/22,20768206.56
7/20/22,19141473.22
7/19/22,19972141.11
7/18/22,18303796.24
7/17/22,17327703.1
7/16/22,19644545.7
7/15/22,18967211.44
7/14/22,16308882.03
7/13/22,13928315.14
7/12/22,19253095.53
7/11/22,16078738.29
7/10/22,20789681.39
7/9/22,18735674.27
7/8/22,20610085.03
7/7/22,20869123.26
7/6/22,16778177.28
7/5/22,15144619.1
7/4/22,17710446.53
7/3/22,18764021.98
7/2/22,16848775.52
7/1/22,16732216.52
6/30/22,20986948.24
6/29/22,19294230.34
6/28/22,19472210.9
6/27/22,18196705.12
6/26/22,18725062.51
6/25/22,20329812.48
6/24/22,17574926.42
6/23/22,20024451.81
6/22/22,16701527.5
6/21/22,20006142.94
6/20/22,17360898.52
6/19/22,16242774.01
6/18/22,19163215.15
6/17/22,14401300.63
6/16/22,16428520.67
6/15/22,22563087.38
6/14/22,20795095.68
6/13/22,21082032.12
6/12/22,22570359.74
6/11/22,28151998.79
6/10/22,27700978.42
6/9/22,27926688.31
6/8/22,34287068.16
6/7/22,30734883.34
6/6/22,30106422.18
6/5/22,27875286.5
6/4/22,26568669.48
6/3/22,27375084.12
6/2/22,24078261.13
6/1/22,27036571.02
5/31/22,29372134.96
5/30/22,29800801.82
5/29/22,27414129.74
5/28/22,27065998.55
5/27/22,25425348.72
5/26/22,26482376.46
5/25/22,27361186.72
5/24/22,22433703.22
5/23/22,30625921.21
5/22/22,23009314.63
5/21/22,25484061.48
5/20/22,24396025.32
5/19/22,23435982.24
5/18/22,25306893.24
5/17/22,28397876.91
5/16/22,31772670.37
5/15/22,24578778.36
5/14/22,26686030.01
5/13/22,29699309.99
5/12/22,24910276.04
5/11/22,28343738.79
5/10/22,30465538.02
5/9/22,32281111.72
5/8/22,33974516.55
5/7/22,32602912.27
5/6/22,33183643.8
5/5/22,38641030.36
5/4/22,35874583.44
5/3/22,36261069.13
5/2/22,39108990.57
5/1/22,40525650.9
4/30/22,37031311.35
4/29/22,37250318.23
4/28/22,33133353.77
4/27/22,42682531.78
4/26/22,35239242.86
4/25/22,40289919.58
4/24/22,42636545.76
4/23/22,40745768.89
4/22/22,34361884.54
4/21/22,44502886.44
4/20/22,41826936.38
4/19/22,32209953.67
4/18/22,33554776.28
4/17/22,41812904.43
4/16/22,34087053.88
4/15/22,40084844.39
4/14/22,35605625.48
4/13/22,35934245.39
4/12/22,38608644.81
4/11/22,35801153.76
4/10/22,37708697.09
4/9/22,40940631.08
4/8/22,37320148.67
4/7/22,38455362.06
4/6/22,42945671.13
4/5/22,43133876.23
4/4/22,46006388.37
4/3/22,40719203.4
4/2/22,40410667.78
4/1/22,40957428.26
3/31/22,41070779.19
3/30/22,40379135.26
3/29/22,45330581.01
3/28/22,47542865.06
3/27/22,37615484.29
3/26/22,45600899.42
3/25/22,43756450.86
3/24/22,39187876.83
3/23/22,38783180.02
3/22/22,39888938.44
3/21/22,39709506.74
3/20/22,40348467.98
3/19/22,40889732.8
3/18/22,36959271.78
3/17/22,41116830.89
3/16/22,39891546.92
3/15/22,34327601.18
3/14/22,37379620.93
3/13/22,37950813.21
3/12/22,38434246.1
3/11/22,34515891.55
3/10/22,36518474.15
3/9/22,36284340.42
3/8/22,36210238.4
3/7/22,35836828.33
3/6/22,32347699.63
3/5/22,31045143.39
3/4/22,36333926.06
3/3/22,40853667.55
3/2/22,38804384.27
3/1/22,45022611.38
2/28/22,38215480.8
2/27/22,33197207.98
2/26/22,33937773.78
2/25/22,33004416.88
2/24/22,30647564.87
2/23/22,36162771.65
2/22/22,36863634.74
2/21/22,30026576.04
2/20/22,35174070.58
2/19/22,37609546.8
2/18/22,34237766.89
2/17/22,42514659.43
2/16/22,43917652.27
2/15/22,48533029.99
2/14/22,40840022.97
2/13/22,42217994.28
2/12/22,50024191
2/11/22,39575264.29
2/10/22,41628004.66
2/9/22,39687367.62
2/8/22,43425193.84
2/7/22,37290363.05
2/6/22,40981670.3
2/5/22,31486890.21
2/4/22,31845046.92
2/3/22,34674721.34
2/2/22,36860308.93
2/1/22,37673152.99
1/31/22,34119747.25
1/30/22,35525578.69
1/29/22,35684124.96
1/28/22,36132765.51
1/27/22,30227465.24
1/26/22,31353367.59
1/25/22,35087221.53
1/24/22,33828656.38
1/23/22,31485076.14
1/22/22,30110451.2
1/21/22,32978968.48
1/20/22,46535284.66
1/19/22,46790137.07
1/18/22,36125898.01
1/17/22,43763608.22
1/16/22,47466219.96
1/15/22,45035758.87
1/14/22,42691914.99
1/13/22,49600693.78
1/12/22,37614100.69
1/11/22,41815945.09
1/10/22,37634287.25
1/9/22,37068053.16
1/8/22,37777816.27
1/7/22,38347303.45
1/6/22,40297229.2
1/5/22,43723000.84
1/4/22,43285514.64
1/3/22,41960366.09
1/2/22,48206934.99
1/1/22,50149010.75
12/31/21,44744369.16
12/30/21,35335901.08
12/29/21,43919738.5
12/28/21,43360200.31
12/27/21,47659524.98
12/26/21,42660691.9
12/25/21,47109105.27
12/24/21,49180777.12
12/23/21,47340546.69
12/22/21,45795454.37
12/21/21,48349569.82
12/20/21,42533811.44
12/19/21,44556197.85
12/18/21,37344542.96
12/17/21,45001267.21
12/16/21,35647706.32
12/15/21,43208574.52
12/14/21,44651133.47
12/13/21,43671664.55
12/12/21,43658657.59
12/11/21,46068658.14
12/10/21,47537565.14
12/9/21,50546267.61
12/8/21,53150535.42
12/7/21,49684990.71
12/6/21,53085916.58
12/5/21,52043857.44
12/4/21,48318140.2
12/3/21,60163624.38
12/2/21,56025370.8
12/1/21,50326073.91
11/30/21,48794504.36
11/29/21,52131631.56
11/28/21,47788162.45
11/27/21,49251516.2
11/26/21,46589569.53
11/25/21,48130860.02
11/24/21,57141084.07
11/23/21,48326099.81
11/22/21,51325923.63
11/21/21,50108593.38
11/20/21,53936028.21
11/19/21,49667132.61
11/18/21,53828907.24
11/17/21,56531418.52
11/16/21,58617039.19
11/15/21,63153343.38
11/14/21,65428799.07
11/13/21,62698179.56
11/12/21,57924016.81
11/11/21,65183349.25
11/10/21,63548112.52
11/9/21,65840419.26
11/8/21,57270493.49
11/7/21,60030049.95
11/6/21,59379244.68
11/5/21,60649721.92
11/4/21,56277841.55
11/3/21,64240988.99
11/2/21,62861190.13
11/1/21,57638512.19
10/31/21,53663037.31
10/30/21,60386548.97
10/29/21,68395070.24
10/28/21,58309865.55
10/27/21,59080371.71
10/26/21,59364122.89
10/25/21,74417752.59
10/24/21,58596760.65
10/23/21,56004608.35
10/22/21,63205405.9
10/21/21,60807152.15
10/20/21,61742492.21
10/19/21,61804734.86
10/18/21,58173901.82
10/17/21,61555796.56
10/16/21,51917022.71
10/15/21,54670343.84
10/14/21,51775839.06
10/13/21,60196305.45
10/12/21,48626582.28
10/11/21,52898159.5
10/10/21,55625852.15
10/9/21,52134455.44
10/8/21,41966394.78
10/7/21,49405388.01
10/6/21,43942894.7
10/5/21,52076953.34
10/4/21,47639372.83
10/3/21,45436120.54
10/2/21,56739068.28
10/1/21,40884975.74
9/30/21,46789306.05
9/29/21,34503900.23
9/28/21,40399023.49
