Date,Transactions
11/27/22,222672
11/26/22,229735
11/25/22,258341
11/24/22,254639
11/23/22,273997
11/22/22,253235
11/21/22,270779
11/20/22,229923
11/19/22,260694
11/18/22,282091
11/17/22,248465
11/16/22,268373
11/15/22,283090
11/14/22,242416
11/13/22,227644
11/12/22,239254
11/11/22,284467
11/10/22,292831
11/9/22,292265
11/8/22,295778
11/7/22,264869
11/6/22,223404
11/5/22,257198
11/4/22,281515
11/3/22,297039
11/2/22,257467
11/1/22,276192
10/31/22,284125
10/30/22,222138
10/29/22,252661
10/28/22,283035
10/27/22,267995
10/26/22,306069
10/25/22,248540
10/24/22,264486
10/23/22,217872
10/22/22,233097
10/21/22,270741
10/20/22,263986
10/19/22,263517
10/18/22,257694
10/17/22,260471
10/16/22,212919
10/15/22,241758
10/14/22,284648
10/13/22,281093
10/12/22,261196
10/11/22,266451
10/10/22,258286
10/9/22,211238
10/8/22,235498
10/7/22,270191
10/6/22,278204
10/5/22,267021
10/4/22,278744
10/3/22,273820
10/2/22,213646
10/1/22,241993
9/30/22,286672
9/29/22,267342
9/28/22,264048
9/27/22,271117
9/26/22,259311
9/25/22,212009
9/24/22,228040
9/23/22,281419
9/22/22,245794
9/21/22,260924
9/20/22,269773
9/19/22,253795
9/18/22,212396
9/17/22,247863
9/16/22,261361
9/15/22,277041
9/14/22,270309
9/13/22,260108
9/12/22,268971
9/11/22,220361
9/10/22,241936
9/9/22,290849
9/8/22,262863
9/7/22,265239
9/6/22,268125
9/5/22,250179
9/4/22,204538
9/3/22,242597
9/2/22,270588
9/1/22,268022
8/31/22,260425
8/30/22,262445
8/29/22,252235
8/28/22,202109
8/27/22,225420
8/26/22,262722
8/25/22,260460
8/24/22,256606
8/23/22,256928
8/22/22,250534
8/21/22,205435
8/20/22,222722
8/19/22,279910
8/18/22,291921
8/17/22,256127
8/16/22,273896
8/15/22,241934
8/14/22,205350
8/13/22,233308
8/12/22,273661
8/11/22,287356
8/10/22,264566
8/9/22,256233
8/8/22,256582
8/7/22,196161
8/6/22,237677
8/5/22,268463
8/4/22,279707
8/3/22,282037
8/2/22,266968
8/1/22,249610
7/31/22,209042
7/30/22,232696
7/29/22,281608
7/28/22,287254
7/27/22,255930
7/26/22,264861
7/25/22,253417
7/24/22,199919
7/23/22,223744
7/22/22,263276
7/21/22,273976
7/20/22,260195
7/19/22,279950
7/18/22,247895
7/17/22,202157
7/16/22,226638
7/15/22,269269
7/14/22,286894
7/13/22,222657
7/12/22,275378
7/11/22,229482
7/10/22,199369
7/9/22,220708
7/8/22,268331
7/7/22,281435
7/6/22,267118
7/5/22,245829
7/4/22,240385
7/3/22,206333
7/2/22,235096
7/1/22,271874
6/30/22,271213
6/29/22,265079
6/28/22,248080
6/27/22,258883
6/26/22,206755
6/25/22,218017
6/24/22,254348
6/23/22,255213
6/22/22,255472
6/21/22,254438
6/20/22,236636
6/19/22,199777
6/18/22,247890
6/17/22,251574
6/16/22,251253
6/15/22,296312
6/14/22,283231
6/13/22,272503
6/12/22,215473
6/11/22,230002
6/10/22,261856
6/9/22,262105
6/8/22,261597
6/7/22,263641
6/6/22,268921
6/5/22,201341
6/4/22,218629
6/3/22,267517
6/2/22,264901
6/1/22,272165
5/31/22,276273
5/30/22,271819
5/29/22,207859
5/28/22,226794
5/27/22,270453
5/26/22,262367
5/25/22,288842
5/24/22,235866
5/23/22,265106
5/22/22,209047
5/21/22,225225
5/20/22,267034
5/19/22,262479
5/18/22,262907
5/17/22,278496
5/16/22,272134
5/15/22,235433
5/14/22,290225
5/13/22,269880
5/12/22,274204
5/11/22,262683
5/10/22,279658
5/9/22,279511
5/8/22,233892
5/7/22,231623
5/6/22,286887
5/5/22,315759
5/4/22,233045
5/3/22,277895
5/2/22,272206
5/1/22,232322
4/30/22,261630
4/29/22,286563
4/28/22,275765
4/27/22,287105
4/26/22,273297
4/25/22,277417
4/24/22,221992
4/23/22,234978
4/22/22,260930
4/21/22,282438
4/20/22,285655
4/19/22,273168
4/18/22,246421
4/17/22,207324
4/16/22,225486
4/15/22,254831
4/14/22,265537
4/13/22,276968
4/12/22,278839
4/11/22,276623
4/10/22,216446
4/9/22,232792
4/8/22,266805
4/7/22,269404
4/6/22,273640
4/5/22,273430
4/4/22,275106
4/3/22,225564
4/2/22,254442
4/1/22,284105
3/31/22,279210
3/30/22,272864
3/29/22,286940
3/28/22,293304
3/27/22,218202
3/26/22,231031
3/25/22,290719
3/24/22,262987
3/23/22,264182
3/22/22,264569
3/21/22,259912
3/20/22,210547
